"","time","U","I","V"
"272",27.1,65665.5111615833,199247.722892863,69649.1158912229
"273",27.2,64428.8106324937,200127.092744013,70327.8837359261
"274",27.3,63203.720335572,200993.290544807,71009.6183296117
"275",27.4,61990.418364924,201846.161910835,71694.2746344154
"276",27.5,60789.0765570931,202685.558985686,72381.8070987646
"277",27.6,59599.8603780418,203511.340542194,73072.1696797422
"278",27.7,58422.9288171862,204323.372076455,73765.3158657822
"279",27.8,57258.4342886418,205121.525894471,74461.1986996721
"280",27.9,56106.5225398245,205905.681191293,75159.7708018378
"281",28,54967.3325675378,206675.72412254,75860.9843938838
"282",28.1,53840.9965416632,207431.547868193,76564.7913223638
"283",28.2,52727.6397365547,208173.052688583,77271.1430827552
"284",28.3,51627.3804702275,208900.145972487,77979.9908436095
"285",28.4,50540.3300514105,209612.74227728,78691.2854708542
"286",28.5,49466.5927345242,210310.763361103,79404.977552216
"287",28.6,48406.265682623,210994.138207012,80121.017421741
"288",28.7,47359.4389383325,211662.803039093,80839.3551843829
"289",28.8,46326.1954027922,212316.701330558,81559.9407406318
"290",28.9,45306.6108226012,212955.783803823,82282.7238111579
"291",29,44300.7537847495,213580.008422611,83007.6539614412
"292",29.1,43308.6857194998,214189.340376129,83734.6806263607
"293",29.2,42330.4609111742,214783.752055365,84463.7531347173
"294",29.3,41366.1265167805,215363.223021607,85194.820733662
"295",29.4,40415.7225924014,215927.739967257,85927.8326130045
"296",29.5,39479.2821272551,216477.296669045,86662.7379293754
"297",29.6,38556.8310853205,217011.893933781,87399.4858302166
"298",29.7,37648.3884544086,217531.539536752,88138.0254775748
"299",29.8,36753.9663025458,218036.248152934,88878.3060716736
"300",29.9,35873.5698415251,218526.04128116,89620.2768742396
"301",30,35007.1974974649,219000.947161418,90363.8872315589
"302",30.1,34154.8409882073,219461.000685479,91109.0865972411
"303",30.2,33316.485407372,219906.243301015,91855.8245546686
"304",30.3,32492.1093148762,220336.722909444,92604.050839109
"305",30.4,31681.6848337137,220752.493757697,93353.7153594705
"306",30.5,30885.177752784,221153.616324133,94104.768219678
"307",30.6,30102.5476355475,221540.157198843,94857.1597396536
"308",30.7,29333.7479342767,221912.188958571,95610.8404758796
"309",30.8,28578.7261096652,222269.790036508,96365.7612415281
"310",30.9,27837.4237555486,222613.044587213,97121.87312614
"311",31,27109.7767284851,222942.042346916,97879.127514836
"312",31.1,26395.7152819381,223256.878489478,98637.4761070465
"313",31.2,25695.1642047965,223557.653478273,99396.8709347437
"314",31.3,25008.0429639659,223844.472914262,100157.264380164
"315",31.4,24334.2658507576,224117.447380556,100918.60919301
"316",31.5,23673.7421308027,224376.692283724,101680.858507113
"317",31.6,23026.3761972105,224622.327692146,102443.965856559
"318",31.7,22392.0677266968,224854.478171695,103207.885191252
"319",31.8,21770.7118383971,225073.272619019,103972.570891923
"320",31.9,21162.1992550877,225278.844092723,104737.977784562
"321",32,20566.4164665332,225471.329642728,105504.061154276
"322",32.1,19983.2458946799,225650.870138088,106270.776758563
"323",32.2,19412.5660604197,225817.610093544,107038.080840001
"324",32.3,18854.2517516462,225971.697495107,107805.930138344
"325",32.4,18308.1741923318,226113.283624918,108574.281902021
"326",32.5,17774.2012123559,226242.522885685,109343.093899044
"327",32.6,17252.1974178153,226359.572624942,110112.324427318
"328",32.7,16742.0243615726,226464.592959393,110881.932324342
"329",32.8,16243.5407137426,226557.746599618,111651.876976344
"330",32.9,15756.6024319241,226639.198675362,112422.118326788
"331",33,15281.0629308955,226709.116561667,113192.616884299
"332",33.1,14816.7732515372,226767.669706087,113963.333730003
"333",33.2,14363.582228759,226815.029457202,114734.230524284
"334",33.3,13921.3366582029,226851.368894668,115505.269512952
"335",33.4,13489.8814615044,226876.86266101,116276.413532842
"336",33.5,13069.0598499035,226891.686795361,117047.626016846
"337",33.6,12658.7134860027,226896.018569352,117818.870998377
"338",33.7,12258.6826434785,226890.036325341,118590.113115284
"339",33.8,11868.8063645633,226873.91931716,119361.317613221
"340",33.9,11488.9226151192,226847.847553548,120132.450348477
"341",34,11118.8684371383,226812.001644436,120903.477790283
"342",34.1,10758.4800985122,226766.562650243,121674.367022594
"343",34.2,10407.5932399176,226711.711934312,122445.085745372
"344",34.3,10066.0430186941,226647.631018618,123215.602275367
"345",34.4,9733.66424959119,226574.501442867,123985.885546428
"346",34.5,9410.29154208166,226492.50462728,124755.905109301
"347",34.6,9095.75943451993,226401.82173876,125525.631131012
"348",34.7,8789.90252474478,226302.633560862,126295.034393792
"349",34.8,8492.55559704302,226195.120367627,127064.086293547
"350",34.9,8203.55374546673,226079.461801289,127832.758837922
"351",35,7922.73249343648,225955.836753909,128601.024643947
"352",35.1,7649.92790953235,225824.423253029,129368.856935293
"353",35.2,7384.97671942391,225685.398351386,130136.229539146
"354",35.3,7127.71641389148,225538.938020734,130903.116882712
"355",35.4,6877.98535289892,225385.217049796,131669.493989366
"356",35.5,6635.62286568671,225224.408946376,132435.336474464
"357",35.6,6400.46934686221,225056.685843645,133200.62054083
"358",35.7,6172.36634847173,224882.218410611,133965.322973928
"359",35.8,5951.15666804703,224701.175766767,134729.42113674
"360",35.9,5736.68443262613,224513.725400919,135492.892964361
"361",36,5528.79517875565,224320.03309417,136255.71695832
"362",36.1,5327.33592848872,224120.262847042,137017.872180654
"363",36.2,5132.15526139933,223914.576810713,137779.338247737
"364",36.3,4943.10338264015,223703.135222326,138540.095323881
"365",36.4,4760.03218707729,223486.096344333,139300.124114728
