"","time","U","I","V"
"199",19.8,2891872.66651985,93035.1002629354,91643.3289225218
"200",19.9,2890867.6588734,93856.7177532457,92392.3761225961
"201",20,2889854.78768356,94684.5802115849,93148.0343087152
"202",20.1,2888833.98904616,95518.7392355633,93910.3537463984
"203",20.2,2887805.19867354,96359.2467047229,94679.3851158947
"204",20.3,2886768.3518929,97206.1547816573,95455.179514447
"205",20.4,2885723.38364464,98059.5159131088,96237.7884585657
"206",20.5,2884670.22848074,98919.3828310407,97027.2638863101
"207",20.6,2883608.82056312,99785.8085536866,97823.65815958
"208",20.7,2882539.0936621,100658.846386573,98627.0240664131
"209",20.8,2881460.9811548,101538.549923518,99437.4148232933
"210",20.9,2880374.4160236,102424.973047603,100254.884077465
"211",21,2879279.33085467,103318.169932117,101079.485909254
"212",21.1,2878175.65783642,104218.195041478,101911.274834401
"213",21.2,2877063.32875808,105125.10313212,102750.305806396
"214",21.3,2875942.27500826,106038.949253355,103596.634218823
"215",21.4,2874812.42757352,106959.78874821,104450.315907712
"216",21.5,2873673.71703702,107887.677254226,105311.407153895
"217",21.6,2872526.07357711,108822.670704233,106179.964685372
"218",21.7,2871369.42696611,109764.825327093,107056.045679678
"219",21.8,2870203.7065689,110714.19764841,107939.707766264
"220",21.9,2869028.84134174,111670.844491209,108831.009028872
"221",22,2867844.75983102,112634.822976582,109730.008007926
"222",22.1,2866651.39017203,113606.190524301,110636.763702922
"223",22.2,2865448.66008783,114585.004853394,111551.335574827
"224",22.3,2864236.49688813,115571.323982693,112473.783548475
"225",22.4,2863014.82746815,116565.206231335,113404.168014977
"226",22.5,2861783.57830758,117566.71021924,114342.549834128
"227",22.6,2860542.67546958,118575.894867542,115288.990336821
"228",22.7,2859292.04459973,119592.819398987,116243.551327461
"229",22.8,2858031.61092514,120617.543338288,117206.295086386
"230",22.9,2856761.29925353,121650.126512449,118177.28437229
"231",23,2855481.03397231,122690.62905104,119156.582424641
"232",23.1,2854190.73904782,123739.111386435,120144.252966117
"233",23.2,2852890.33802445,124795.634254011,121140.360205026
"234",23.3,2851579.75402399,125860.258692298,122144.968837739
"235",23.4,2850258.90974486,126933.046043093,123158.144051119
"236",23.5,2848927.72746145,128014.057951522,124179.951524955
"237",23.6,2847586.12902355,129103.356366068,125210.45743439
"238",23.7,2846234.03585571,130201.003538539,126249.728452355
"239",23.8,2844871.36895678,131307.062024001,127297.831751999
"240",23.9,2843498.0488994,132421.594680662,128354.835009121
"241",24,2842113.99582958,133544.664669698,129420.806404596
"242",24.1,2840719.12946632,134676.335455041,130495.814626807
"243",24.2,2839313.36910129,135816.670803113,131579.928874068
"244",24.3,2837896.63359853,136965.734782503,132673.218857048
"245",24.4,2836468.84139427,138123.591763604,133775.75480119
"246",24.5,2835029.91049672,139290.306418182,134887.607449135
"247",24.6,2833579.758486,140465.943718907,136008.848063127
"248",24.7,2832118.30251403,141650.568938812,137139.548427428
"249",24.8,2830645.45930455,142844.247650711,138279.780850724
"250",24.9,2829161.14515323,144047.045726552,139429.618168523
"251",25,2827665.27592768,145259.029336712,140589.133745552
"252",25.1,2826157.76706773,146480.264949235,141758.401478142
"253",25.2,2824638.53358562,147710.819329012,142937.495796619
"254",25.3,2823107.49006631,148950.759536894,144126.491667671
"255",25.4,2821564.55066782,150200.152928747,145325.464596721
"256",25.5,2820009.62912172,151459.067154443,146534.490630289
"257",25.6,2818442.63873359,152727.570156786,147753.646358341
"258",25.7,2816863.49238357,154005.730170374,148983.008916637
"259",25.8,2815272.10252703,155293.615720393,150222.655989059
"260",25.9,2813668.38119525,156591.295621342,151472.665809942
"261",26,2812052.23999622,157898.83897569,152733.117166382
"262",26.1,2810423.59011546,159216.315172469,154004.089400543
"263",26.2,2808782.34231695,160543.793885784,155285.662411946
"264",26.3,2807128.40694415,161881.345073262,156577.916659749
"265",26.4,2805461.69392105,163229.038974418,157880.93316501
"266",26.5,2803782.11275332,164586.946108956,159194.793512945
"267",26.6,2802089.57252958,165955.137274985,160519.579855163
"268",26.7,2800383.98192264,167333.683547165,161855.374911893
"269",26.8,2798665.249191,168722.656274766,163202.261974188
"270",26.9,2796933.28218021,170122.12707966,164560.324906125
"271",27,2795187.98832453,171532.167854218,165929.648146978
"272",27.1,2793429.27464853,172952.850759136,167310.316713377
"273",27.2,2791657.04776883,174384.248221171,168702.416201451
"274",27.3,2789871.21389596,175826.432930793,170106.032788952
"275",27.4,2788071.67883622,177279.477839757,171521.253237359
"276",27.5,2786258.34799375,178743.456158577,172948.164893961
"277",27.6,2784431.12637259,180218.44135392,174386.855693921
"278",27.7,2782589.91857892,181704.507145906,175837.414162321
"279",27.8,2780734.62882331,183201.727505318,177299.929416179
"280",27.9,2778865.16092314,184710.176650719,178774.49116645
"281",28,2776981.4183051,186229.929045472,180261.189719996
"282",28.1,2775083.30400777,187761.059394668,181760.115981542
"283",28.2,2773170.72068433,189303.642641958,183271.361455596
"284",28.3,2771243.57060536,190857.75396628,184795.01824835
"285",28.4,2769301.75566175,192423.468778493,186331.179069554
"286",28.5,2767345.1773677,194000.862717908,187879.937234357
"287",28.6,2765373.7368639,195590.011648712,189441.38666513
"288",28.7,2763387.3349207,197190.991656296,191015.621893248
"289",28.8,2761385.87194152,198803.879043467,192602.738060852
"290",28.9,2759369.24796629,200428.750326563,194202.830922576
"291",29,2757337.36267502,202065.682231453,195815.996847238
"292",29.1,2755290.11539154,203714.751689427,197442.33281951
"293",29.2,2753227.40508729,205376.03583298,199081.936441545
"294",29.3,2751149.13038526,207049.611991475,200734.905934569
"295",29.4,2749055.18956408,208735.557686699,202401.340140447
"296",29.5,2746945.48056219,210433.950628294,204081.338523203
"297",29.6,2744819.90098218,212144.868709081,205775.00117051
"298",29.7,2742678.3480952,213868.390000255,207482.428795137
"299",29.8,2740520.71884556,215604.592746464,209203.722736361
"300",29.9,2738346.90985546,217353.555360767,210938.984961335
"301",30,2736156.81742979,219115.356419462,212688.318066419
"302",30.1,2733950.33756112,220890.074656798,214451.825278468
"303",30.2,2731727.36593485,222677.788959545,216229.610456074
"304",30.3,2729487.7979344,224478.578361457,218021.778090768
"305",30.4,2727231.5286467,226292.522037579,219828.433308177
"306",30.5,2724958.45286763,228119.699298444,221649.681869129
"307",30.6,2722668.46510776,229960.189584127,223485.63017072
"308",30.7,2720361.45959821,231814.072458159,225336.385247326
"309",30.8,2718037.33029654,233681.427601315,227202.054771566
"310",30.9,2715695.97089298,235562.334805259,229082.74705522
"311",31,2713337.27481666,237456.873966042,230978.57105009
"312",31.1,2710961.13524204,239365.125077473,232889.63634881
"313",31.2,2708567.44509555,241287.168224334,234816.053185602
"314",31.3,2706156.09706231,243223.083575454,236757.932436981
"315",31.4,2703726.98359304,245172.951376641,238715.385622394
"316",31.5,2701279.99691117,247136.851943459,240688.524904817
"317",31.6,2698815.02902004,249114.865653861,242677.463091275
"318",31.7,2696331.97171032,251107.072940663,244682.313633319
