"","time","U","I","V"
"159",15.8,-1.0854245478824e-15,25963.7815475179,282821.348221083
"160",15.9,-2.02486486749024e-15,25927.6857723626,285347.925965618
"161",16,5.67352742425713e-16,25891.6401788405,287870.991135381
"162",16.1,1.42777989875529e-15,25855.6446971876,290390.548613676
"163",16.2,5.66123179791201e-16,25819.6992577369,292906.603276981
"164",16.3,-2.84258869125271e-16,25783.8037909185,295419.159995016
"165",16.4,-3.9691030799614e-16,25747.9582272583,297928.223630752
"166",16.5,-1.16977960593566e-16,25712.1624973793,300433.799040404
"167",16.6,7.56325111944186e-17,25676.4165320007,302935.891073432
"168",16.7,6.11385390870264e-17,25640.7202619381,305434.504572548
"169",16.8,-1.15348774238978e-17,25605.0736181033,307929.644373733
"170",16.9,-3.55738881586489e-17,25569.4765315042,310421.315306247
"171",17,-1.59987759956394e-17,25533.9289332445,312909.522192633
"172",17.1,4.85484785972164e-18,25498.4307545237,315394.269848733
"173",17.2,8.54676036242736e-18,25462.9819266372,317875.563083692
"174",17.3,2.46111053858913e-18,25427.5823809755,320353.40669997
"175",17.4,-2.18277376892343e-18,25392.2320490248,322827.805493349
"176",17.5,-2.22944703983741e-18,25356.9308623664,325298.764252945
"177",17.6,-3.57344561010645e-19,25321.6787526768,327766.287761216
"178",17.7,7.22699864026202e-19,25286.4756517274,330230.38079397
"179",17.8,5.72131742217629e-19,25251.3214913846,332691.048120378
"180",17.9,1.14871912677601e-19,25216.2162036093,335148.294502977
"181",18,-8.05385585546363e-21,25181.1597204572,337602.124697685
"182",18.1,6.84508470572722e-20,25146.1519740783,340052.543453809
"183",18.2,5.96200554595608e-20,25111.1928967171,342499.555514053
"184",18.3,-3.11754496588487e-20,25076.2824207121,344943.165614528
"185",18.4,-6.66445706193219e-20,25041.420478496,347383.37848476
"186",18.5,-2.6072564041892e-20,25006.6070025953,349820.198847697
"187",18.6,1.80241909990367e-20,24971.8419256306,352253.631419727
"188",18.7,2.2333678650126e-20,24937.1251803158,354683.680910677
"189",18.8,5.69179107697279e-21,24902.4566994586,357110.352023826
"190",18.9,-4.62635305697326e-21,24867.83641596,359533.649455916
"191",19,-3.60088956850844e-21,24833.2642628143,361953.577897158
"192",19.1,5.43275359143864e-22,24798.7401731089,364370.142031243
"193",19.2,1.92373715681119e-21,24764.2640800245,366783.346535352
"194",19.3,8.38739862201131e-22,24729.8359168343,369193.196080161
"195",19.4,-3.19670625033131e-22,24695.4556169046,371599.695329855
"196",19.5,-2.67857392255691e-22,24661.123113694,374002.848942132
"197",19.6,4.24040895427772e-22,24626.838340754,376402.661568217
